Assc.	Lineage	Superorder	Orders	Family	OrdersEnglish	MYA	ScientificName	EnglishName	NCBI taxon ID	AssemblyId	asmId	sciName	comName	VGPLineage
GCA_023851605.1	Mammals	Xenarthra	Pilosa (Vermilingua)	Myrmecophagidae	Anteaters	55	Tamandua tetradactyla	Southern tamandua 	48850	mTamTet1	GCA_023851605.1_mTamTet1.pri	Tamandua tetradactyla	southern tamandua (mTamTet1 primary hap 2022)	mammals
GCA_024256435.1	Fishes	Actinopterygii (Ray-finned Fishes)	Siluriformes	Clariidae	Catfish	150	Clarias gariepinus	North African catfish	13013	fClaGar1	GCA_024256435.1_CGAR_Hap1	Clarias gariepinus	North African catfish (Netherlands MV-2021 primary hap 2022)	fish
GCA_024294585.1	Reptiles	Squamata	Serpentes (Viperidae)	Viperidae	Snakes (Cobras/Rattlesnakes)	75	Vipera latastei	snub-nosed viber	246179	rVipLat1	GCA_024294585.1_rVipLat1.pri	Vipera latastei	Lataste's viper (primary hap 2022)	reptiles
GCA_026018925.1	Mammals	Supraprimates (Euarchontoglires)	Scandentia (Tupaiidae)	Tupaiidae	Treeshrews	63	Tupaia tana	large treeshrew	70687	mTupTan1	GCA_026018925.1_mTupTan1	Tupaia tana	large tree shrew (BS70 2022)	mammals
GCA_026229955.1	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Cricetidae)	Cricetidae	Hamsters, New World rats & mice, muskrats, voles	50	Peromyscus maniculatus	deer mouse	10042	mPerMan1	GCA_026229955.1_mPerMan1.0.p	Peromyscus maniculatus sonoriensis	North American deer mouse (MVZ:Mamm:240117 primary hap 2022)	mammals
GCA_026230055.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Vespertilionidae	Regular bats	65	Corynorhinus townsendii	Townsend's big-eared bat	124745	mCorTow1	GCA_026230055.1_mCorTow1.0.hap1	Corynorhinus townsendii	Townsend's big-eared bat (haplotype 1 of 2 COTO_CA2020_CCGP 2022)	mammals
GCA_026652325.1	Amphibians	Caudata	Salamandroidea > (Salamandridae)	Salamandridae	True salamanders, newts	95	Pleurodeles waltl	Iberian ribbed newt	8319	aPleWal1	GCA_026652325.1_ASM2665232v1	Pleurodeles waltl	Iberian ribbed newt (20211129_DDA 2022 genbank)	amphibians
GCA_027410445.1	Amphibians	Anura	Archaeobatrachia > Discoglossoidea (Alytidae)	Alytidae	Painted frogs	138	Discoglossus pictus	painted frog	8351	aDisPic1	GCA_027410445.1_aDisPic1.pri	Discoglossus pictus	painted frog (primary hap 2022)	amphibians
GCA_027474245.1	Birds	Core waterbirds	Sphenisciformes	Spheniscidae	Penguins	60.46	Spheniscus humboldti	Humboldt penguin	9240	bSphHub1	GCA_027474245.1_bSphHub1.pri	Spheniscus humboldti	Humboldt's penguin (bSphHub1 primary hap 2022)	birds
GCA_027559615.1	Birds	Core landbirds	Passeriformes (Oscines)	Sturnidae	Songbirds	29.59	Acridotheres tristis	common myna	279927	bArcTri1	GCA_027559615.1_bAcrTri1.pri	Acridotheres tristis	common myna (bArcTri1 primary hap 2023)	birds
GCA_027563665.1	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Vespertilionidae	Regular bats	65	Antrozous pallidus	pallid bat	9440	mAntPal1	GCA_027563665.1_DD_ASM_mAP_20210503	Antrozous pallidus	pallid bat (TK200870 primary hap 2023)	mammals
GCA_027574665.1	Birds	Core waterbirds	Eurypgiformes	Rhynochetidae	Sunbittern/Kagu	60.81	Rhynochetos jubatus	Kagu	54386	bRhyJub1	GCA_027574665.1_bRhyJub1.pri	Rhynochetos jubatus	kagu (bRhyJub1 primary hap 2023)	birds
GCA_027917425.1	Amphibians	Anura	Neobatrachia > Ranoidea (Microhylidae)	Microhylidae	Narrow mouth frogs	100	Gastrophryne carolinensis	Eastern narrow-mouthed toad	8429	aGasCar1	GCA_027917425.1_aGasCar1.pri	Gastrophryne carolinensis	eastern narrow-mouthed toad (primary haplotype 2023)	amphibians
GCA_027942865.1	Fishes	Actinopterygii (Ray-finned Fishes)	Atheriniformes	Atherinopsidae	Silversides	75	Odontesthes bonariensis	pejerrey	219752	fOdoBon6	GCA_027942865.1_fOdoBon6.hap1	Odontesthes bonariensis	pejerrey (fOdoBon6 haplotype 1 2023)	fish
